    PID RUSER    EUSER    COMMAND         STAT
      1 root     root     systemd         Ss
      2 root     root     kthreadd        S
      3 root     root     pool_workqueue_ S
      4 root     root     kworker/R-rcu_g I<
      5 root     root     kworker/R-sync_ I<
      6 root     root     kworker/R-kvfre I<
      7 root     root     kworker/R-slub_ I<
      8 root     root     kworker/R-netns I<
     10 root     root     kworker/0:0H-kb I<
     11 root     root     kworker/0:1-eve I
     12 root     root     kworker/u8:0-ev I
     13 root     root     kworker/R-mm_pe I<
     14 root     root     kworker/u8:1-ev I
     15 root     root     ksoftirqd/0     S
     16 root     root     rcu_preempt     I
     17 root     root     rcu_exp_par_gp_ S
     18 root     root     rcu_exp_gp_kthr S
     19 root     root     migration/0     S
     20 root     root     cpuhp/0         S
     21 root     root     cpuhp/1         S
     22 root     root     migration/1     S
     23 root     root     ksoftirqd/1     S
     24 root     root     kworker/1:0-eve I
     25 root     root     kworker/1:0H-kb I<
     26 root     root     kdevtmpfs       S
     27 root     root     kworker/R-inet_ I<
     28 root     root     rcu_tasks_kthre I
     29 root     root     rcu_tasks_rude_ I
     30 root     root     kauditd         S
     31 root     root     oom_reaper      S
     32 root     root     kworker/R-write I<
     33 root     root     kcompactd0      S
     34 root     root     ksmd            SN
     35 root     root     khugepaged      SN
     36 root     root     kworker/R-kbloc I<
     37 root     root     kworker/R-blkcg I<
     38 root     root     kworker/R-kinte I<
     40 root     root     kworker/R-tpm_d I<
     41 root     root     kworker/R-ata_s I<
     42 root     root     kworker/R-md_bi I<
     43 root     root     kworker/R-edac- I<
     44 root     root     kworker/u8:2-ev I
     45 root     root     kworker/R-devfr I<
     46 root     root     watchdogd       S
     47 root     root     kworker/R-quota I<
     48 root     root     kswapd0         S
     49 root     root     kworker/R-crypt I<
     51 root     root     kworker/R-kthro I<
     52 root     root     kworker/u9:0    I<
     53 root     root     kworker/R-acpi_ I<
     54 root     root     kworker/R-dm_bu I<
     55 root     root     kworker/R-mld   I<
     56 root     root     kworker/R-ipv6_ I<
     57 root     root     kworker/R-kstrp I<
    138 root     root     kworker/0:2-cgr I
    186 root     root     kworker/1:2-cgr I
    187 root     root     kworker/R-kalua I<
    189 root     root     kworker/R-kmpat I<
    190 root     root     kworker/1:3-eve I
    324 root     root     scsi_eh_0       S
    326 root     root     kworker/R-scsi_ I<
    329 root     root     kworker/0:1H-xf I<
    330 root     root     kworker/1:1H-kb I<
    337 root     root     kworker/u8:3-fl I
    348 root     root     irq/17-vmwgfx   S
    352 root     root     kworker/R-ttm   I<
    397 root     root     kworker/R-kdmfl I<
    419 root     root     kworker/R-xfsal I<
    420 root     root     kworker/R-xfs_m I<
    421 root     root     kworker/R-xfs-b I<
    422 root     root     kworker/R-xfs-c I<
    423 root     root     kworker/R-xfs-r I<
    424 root     root     kworker/R-xfs-b I<
    425 root     root     kworker/R-xfs-i I<
    426 root     root     kworker/R-xfs-l I<
    427 root     root     kworker/R-xfs-c I<
    428 root     root     xfsaild/dm-0    S
    489 root     root     psimon          S
    500 root     root     systemd-journal Ss
    511 root     root     kworker/R-kmpat I<
    512 root     root     kworker/R-kmpat I<
    528 root     root     systemd-userdbd Ss
    536 systemd+ systemd+ systemd-resolve Ss
    541 root     root     systemd-udevd   Ss
    542 root     root     psimon          S
    568 systemd+ systemd+ systemd-oomd    Ss
    604 root     root     kworker/R-xfs-b I<
    605 root     root     kworker/R-xfs-c I<
    606 root     root     kworker/R-xfs-r I<
    607 root     root     kworker/R-xfs-b I<
    608 root     root     kworker/R-xfs-i I<
    609 root     root     kworker/R-xfs-l I<
    610 root     root     kworker/R-xfs-c I<
    611 root     root     xfsaild/sda2    S
    628 root     root     auditd          S<sl
    630 root     root     sedispatch      S<
    651 dbus     dbus     dbus-broker-lau Ss
    668 dbus     dbus     dbus-broker     S
    671 avahi    avahi    avahi-daemon    Ss
    672 chrony   chrony   chronyd         Ss
    674 root     root     firewalld       Ssl
    675 root     root     NetworkManager  Ssl
    676 root     root     irqbalance      Ssl
    677 polkitd  polkitd  polkitd         Ssl
    678 root     root     smartd          Ss
    680 root     root     systemd-homed   Ss
    683 root     root     systemd-logind  Ss
    686 avahi    avahi    avahi-daemon    S
    695 root     root     psimon          S
    697 root     root     abrtd           Ssl
    732 root     root     ModemManager    Ssl
    738 root     root     abrt-dump-journ Ss
    739 root     root     abrt-dump-journ Ss
    740 root     root     abrt-dump-journ Ss
    749 root     root     gssproxy        Ssl
    750 root     root     sshd            Ss
    837 root     root     kworker/R-rpcio I<
    838 root     root     kworker/R-xprti I<
    860 root     root     rsyslogd        Ssl
    876 root     root     atd             Ss
    880 root     root     crond           Ss
    895 root     root     login           Ss
    943 sage     sage     systemd         Ss
    948 sage     sage     (sd-pam)        S
    959 sage     sage     bash            Ss
   1153 sage     root     passwd          T
   1169 sage     sage     tmux: client    S+
   1171 sage     sage     tmux: server    Ss
   1172 sage     sage     bash            Ss
   1174 sage     sage     dbus-broker-lau Ss
   1175 sage     sage     dbus-broker     S
   1204 sage     sage     bash            Ss
   1249 sage     root     passwd          S+
   1255 root     root     systemd-userwor S
   1256 root     root     systemd-userwor S
   1257 root     root     systemd-userwor S
   1269 sage     sage     ps              R+
